Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/dev/TFG/src/features/booking/components/BookingStepper.tsx                | TypeScript JSX |         54 |          1 |          6 |         61 |
| /home/dev/TFG/src/features/booking/components/BookingSuccess.tsx                | TypeScript JSX |        112 |          0 |          8 |        120 |
| /home/dev/TFG/src/features/booking/components/BookingSummary.tsx                | TypeScript JSX |        106 |          0 |         10 |        116 |
| /home/dev/TFG/src/features/booking/components/PaymentDetails.tsx                | TypeScript JSX |         82 |          0 |         10 |         92 |
| /home/dev/TFG/src/features/booking/components/SmartAccessModal.tsx              | TypeScript JSX |        191 |          7 |         28 |        226 |
| /home/dev/TFG/src/features/booking/hooks/useBookingFlow.ts                      | TypeScript     |        147 |          6 |         22 |        175 |
| /home/dev/TFG/src/features/booking/hooks/useSpotBookings.ts                     | TypeScript     |         36 |          0 |          4 |         40 |
| /home/dev/TFG/src/features/booking/index.ts                                     | TypeScript     |          4 |          0 |          1 |          5 |
| /home/dev/TFG/src/features/booking/services/booking.dal.ts                      | TypeScript     |        160 |         26 |         23 |        209 |
| /home/dev/TFG/src/features/booking/services/booking.service.ts                  | TypeScript     |         78 |         25 |         18 |        121 |
| /home/dev/TFG/src/features/booking/services/pricing.service.ts                  | TypeScript     |         32 |         12 |         10 |         54 |
| /home/dev/TFG/src/features/booking/services/smartAccess.dal.ts                  | TypeScript     |         21 |          4 |          3 |         28 |
| /home/dev/TFG/src/features/booking/services/smartAccess.service.ts              | TypeScript     |         47 |          2 |          9 |         58 |
| /home/dev/TFG/src/features/booking/types/booking.types.ts                       | TypeScript     |         41 |          3 |          6 |         50 |
| /home/dev/TFG/src/features/parking/components/FilterDrawer.tsx                  | TypeScript JSX |        306 |         11 |         21 |        338 |
| /home/dev/TFG/src/features/parking/components/FilterSidebar.tsx                 | TypeScript JSX |        225 |          8 |         12 |        245 |
| /home/dev/TFG/src/features/parking/components/Filters.tsx                       | TypeScript JSX |         28 |          0 |          4 |         32 |
| /home/dev/TFG/src/features/parking/components/GarageCard.tsx                    | TypeScript JSX |        206 |          1 |         11 |        218 |
| /home/dev/TFG/src/features/parking/components/GarageDetailModal.tsx             | TypeScript JSX |        151 |          2 |         19 |        172 |
| /home/dev/TFG/src/features/parking/components/MapView.tsx                       | TypeScript JSX |        287 |          7 |         29 |        323 |
| /home/dev/TFG/src/features/parking/components/MapViewHeader.tsx                 | TypeScript JSX |         69 |          0 |          6 |         75 |
| /home/dev/TFG/src/features/parking/components/ParkingDetail.tsx                 | TypeScript JSX |        142 |          6 |         18 |        166 |
| /home/dev/TFG/src/features/parking/components/ParkingMap.tsx                    | TypeScript JSX |        170 |          5 |         20 |        195 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingBookingCard.tsx     | TypeScript JSX |        379 |          9 |         37 |        425 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingFeatures.tsx        | TypeScript JSX |         52 |          0 |          6 |         58 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingGallery.tsx         | TypeScript JSX |         70 |          0 |         10 |         80 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingHeader.tsx          | TypeScript JSX |         39 |          0 |          5 |         44 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingOwnerCard.tsx       | TypeScript JSX |         89 |          0 |          9 |         98 |
