"filename", "language", "TypeScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"/home/dev/TFG/src/ui/label.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 5, 25
"/home/dev/TFG/src/ui/popover.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 5, 29
"/home/dev/TFG/src/ui/select.tsx", "TypeScript JSX", 0, 145, 0, 0, 0, 13, 158
"/home/dev/TFG/src/ui/sheet.tsx", "TypeScript JSX", 0, 124, 0, 0, 0, 15, 139
"/home/dev/TFG/src/ui/skeleton.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 3, 13
"/home/dev/TFG/src/ui/switch.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 5, 32
"/home/dev/TFG/src/ui/tabs.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 8, 67
"/home/dev/TFG/src/ui/textarea.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 4, 22
"/home/dev/TFG/src/ui/time-picker.tsx", "TypeScript JSX", 0, 204, 0, 0, 12, 26, 242
"Total", "-", 3364, 10977, 161, 217, 1139, 1764, 17622
