"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "HTML", "JSON with Comments", "XML", "LaTeX", "Groovy", "BibTeX", "log", "Java", "Properties", "Batch", "comment", "blank", "total"
"/home/dev/TFG/android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -5, -5, -19
"/home/dev/TFG/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -3, -7, -30
"/home/dev/TFG/android/capacitor.settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -1, -8, -25
"/home/dev/TFG/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -15, -6, -23
"/home/dev/TFG/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -1, -8
"/home/dev/TFG/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -32, -22, -95
"/home/dev/TFG/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -1, -5
"/home/dev/TFG/android/variables.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -16
"/home/dev/TFG/capacitor.config.ts", "TypeScript", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -19
"/home/dev/TFG/index.html", "HTML", 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -16
"/home/dev/TFG/package.json", "JSON", 0, -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -100
"/home/dev/TFG/postcss.config.js", "JavaScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"/home/dev/TFG/public/car.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"/home/dev/TFG/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"/home/dev/TFG/tailwind.config.js", "JavaScript", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -8
"/home/dev/TFG/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -36
"/home/dev/TFG/vercel.json", "JSON", 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -40
"/home/dev/TFG/vite.config.ts", "TypeScript", -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -73
"Total", "-", -87, -138, -32, -598, -13, -33, -397, -1150, -122, -272, -2120, -27, -9, -41, -157, -802, -5998
